,idf1,idp,idr,recall,precision,num_unique_objects,mostly_tracked,partially_tracked,mostly_lost,num_false_positives,num_misses,num_switches,num_fragmentations,mota,motp,num_transfer,num_ascend,num_migrate
MOT16-02,0.40252940228773965,0.7143674052894925,0.2802108450625245,0.38159591768070433,0.9728377412437456,54,2,34,18,190,11028,324,972,0.35277294902708467,0.21894267153355806,209,50,15
MOT16-04,0.3555211739747061,0.40164194915254237,0.31890152869188554,0.5711251761044641,0.7193061440677966,83,14,46,23,10599,20396,1472,1968,0.317303446390647,0.15997494349318,566,190,22
MOT16-05,0.3661761966846713,0.5015306122448979,0.2883543561161631,0.475212672337929,0.826530612244898,125,13,76,36,680,3578,279,284,0.3345555881490173,0.1847259352522782,229,35,70
MOT16-09,0.45228972815179713,0.43453111305872044,0.4715617272208484,0.7762982689747004,0.7153374233128834,25,10,15,0,1624,1176,323,279,0.4059349438843447,0.18063349563265735,177,53,11
MOT16-10,0.47113209402970396,0.5975548902195609,0.3888618282188667,0.5645396980029226,0.8675149700598802,54,9,32,13,1062,5364,545,960,0.4340802078259458,0.20542786507667313,301,78,23
MOT16-11,0.476644311095423,0.5177658486707567,0.4415740135164596,0.6543492478744277,0.7672546012269938,69,17,32,20,1821,3171,278,309,0.4255504687159364,0.17072897229312237,156,61,30
MOT16-13,0.38571428571428573,0.732762836185819,0.2617467248908297,0.30995633187772925,0.8677261613691931,107,4,53,50,541,7901,205,591,0.2448034934497817,0.156703396910685,132,46,43
OVERALL,0.39461446428861446,0.4904588884403176,0.3301058809676923,0.5234541288142962,0.7777284349347329,517,69,288,160,16517,52614,3426,5363,0.34282246596683186,0.1761499385038534,1770,513,214
