,num_frames,mota,motp,idf1,num_switches,num_false_positives,num_misses,num_objects,recall,precision
MOT16-02,600.0,0.1917883932096328,0.23024554252237742,0.2277781348415708,69.0,198.0,9969.0,12665.0,0.2128701144887485,0.9315825846579129
MOT16-04,1050.0,0.3051610448896779,0.19606278686883982,0.34767897799139896,211.0,641.0,32025.0,47316.0,0.32316763885366473,0.9597665076575446
MOT16-05,837.0,0.30147058823529416,0.2177316162148448,0.37915592346315646,87.0,101.0,3612.0,5440.0,0.3360294117647059,0.9476412649040954
MOT16-09,525.0,0.4806927217411655,0.24462944126655234,0.5158045977011494,67.0,283.0,1869.0,4273.0,0.5626023870816756,0.8946780796427243
MOT16-10,654.0,0.2981954618545649,0.2344053904122634,0.2929388029589778,116.0,111.0,7629.0,11194.0,0.3184741825978203,0.969804134929271
MOT16-11,900.0,0.5098595020951442,0.20347486241460377,0.525448984393381,54.0,223.0,3700.0,8114.0,0.543998028099581,0.9519085615699806
MOT16-13,750.0,0.09098122189896851,0.24732228864069059,0.15719757421002234,53.0,52.0,10206.0,11343.0,0.10023803226659614,0.9562657695542472
MOT16-train (macro),759.4285714285714,0.3111641334177783,0.22483884690573883,0.34942899936566524,93.85714285714286,229.85714285714286,9858.57142857143,14335.0,0.3424828278789703,0.944520986130825
